pathString;Warszawskie;Łódzkie;Kieleckie;Lubelskie;Białostockie;Wileńskie;Nowogródzkie;Poleskie;Poznańskie;Pomorskie;Śląskie;Krakowskie;Lwowskie;Stanisławowskie;Tarnopolskie;Wołyńskie
/1-2/22/222/;916;838;1917;921;1962;375;318;211;525;117;455;524;228;648;;315
/1-2/22/223/;1356;866;1007;;526;193;265;276;1558;712;493;528;481;229;231;370
/1-2/22/224/;;128;328;;54;;;;234;;144;365;260;83;;
/1-2/23/;45391;36371;52786;42388;23358;7664;8555;9211;23763;13309;13548;25318;27879;14370;15781;16845
/1-2/23/231/;715;540;1163;334;126;;;41;294;;309;495;216;123;48;57
/1-2/23/232/;19255;18166;21571;19623;12705;4496;5088;4994;12530;7305;7477;12178;14028;6652;7964;8391
/1-2/23/233/;2548;2730;2362;1761;946;303;246;296;978;719;1084;2159;1167;706;494;439
/1-2/23/234/;348;267;483;1148;321;;;191;87;;135;573;1023;1265;582;332
/1-2/23/235/;21552;13824;25980;18603;8621;2658;2869;3354;9569;4675;3828;9155;10833;5390;6489;6968
/1-2/23/236/;973;844;1227;919;639;162;275;335;305;415;715;758;612;234;204;658
/1-2/24-25/;29151;19261;23067;19365;11366;2935;4157;3800;37984;16220;16832;13845;14639;6904;8921;10469
/1-2/24-25/241/;644;373;340;240;141;;;;787;660;451;683;325;126;99;145
/1-2/24-25/242/;5014;4173;4717;5733;2243;935;1335;986;4280;2332;561;1529;2661;1917;3450;4359
/1-2/24-25/243/;5568;4785;6045;3934;3181;817;891;812;6600;3228;5481;3439;3145;1235;1131;1509
/1-2/24-25/244/;603;40;583;295;176;;;;854;611;857;748;305;98;;122
/1-2/24-25/245/;6416;889;720;2235;;;;;10061;1749;328;;1152;187;;555
/1-2/24-25/246/;220;123;144;257;;79;;;797;307;;98;363;82;257;
/1-2/24-25/247/;411;270;600;315;273;;81;;943;563;1091;1080;277;256;221;216
/1-2/24-25/248/;297;178;161;80;176;;;129;462;417;504;450;187;107;;177
/1-2/24-25/249/;296;249;392;181;212;;82;105;148;76;223;270;209;126;;169
/1-2/24-25/252/;126;77;90;;;;;;956;85;;;10;;;
/1-2/24-25/253/;818;440;367;569;297;132;274;115;1341;887;233;252;473;224;167;131
/1-2/24-25/254/;8612;7402;8202;5474;3805;779;1298;1453;9423;4931;6436;5082;5069;2514;2648;2966
/1-2/24-25/255/;126;62;706;;790;;;;1332;374;573;197;463;;736;
/1-2/26/;1764;1019;2110;1313;951;172;421;305;1820;1399;1845;1154;1222;470;426;677
/1-2/26/261/;93;38;107;254;49;;163;;29;;57;41;213;;;20
/1-2/26/262/;1097;600;1131;563;440;;101;124;1312;1091;1357;680;531;258;212;306
/1-2/26/263/;260;263;406;232;250;;59;;155;;171;186;226;;;109
/1-2/26/264/;314;243;466;264;212;;98;124;324;187;260;247;252;108;114;242
/1-2/27/;21112;13783;20682;12450;6743;2782;2733;3275;18335;13746;21670;15575;11639;5245;5387;7104
/1-2/27/271/;311;243;301;280;107;71;;129;463;233;235;284;351;209;185;73
/1-2/27/272/;263;249;934;73;88;;;;326;663;1295;228;;;;
/1-2/27/273/;2754;3291;3235;815;748;276;194;280;2435;3279;3143;1181;428;174;97;297
/1-2/27/274/;13012;7274;12610;8711;4007;1887;1790;1956;11210;7161;11791;11111;8350;3857;4359;5025
/1-2/27/275/;998;398;905;405;243;;;;709;554;2243;791;614;264;99;161
/1-2/27/276/;521;336;454;543;308;216;142;155;195;177;165;206;407;136;206;405
/1-2/27/277/;2221;1408;1728;1147;738;170;316;439;2191;1271;2288;1458;1139;482;322;738
/1-2/27/278/;468;265;298;146;141;;;;279;263;353;167;;;;
/1-2/27/279/;564;319;217;330;363;;133;197;527;145;157;149;247;;83;338
/1-2/28/;1362;783;1358;512;442;82;144;124;1661;1710;2312;1273;842;277;168;278
/1-2/28/281/;10;;;;;;;;31;22;50;2;14;;;
/1-2/28/282/;956;618;940;407;375;81;142;119;583;735;1691;756;551;181;152;269
/1-2/28/283/;96;109;32;;;1;;;874;625;342;165;74;88;;
/1-2/28/284/;300;;386;;;;;5;173;328;229;350;203;8;;9
/1-2/29/;1395;1048;4353;713;531;337;228;327;2096;992;4775;2509;3551;912;547;391
/1-2/29/292/;1395;1043;3450;713;531;337;228;327;2087;992;2498;2499;3516;912;547;391
/1-2/29/293/;;5;903;;;;;;9;;2277;10;35;;;
/1-2/2x/;33753;18740;22222;13437;12631;3175;3378;3389;17215;11031;13907;13753;10665;6678;;6442
/1-2/2x/m/;23775;12604;14618;8456;8583;2084;2063;2413;12284;8657;10036;9080;6614;4137;;4417
/1-2/2x/k/;9978;6136;7604;4981;4048;1091;1315;976;4931;2374;3871;4673;4051;2541;;2025
/1-2/Rest/;;;;;;;;;;;;;;;;
/3/;52628;42664;66821;52957;28987;10547;12541;14820;44531;27297;37521;38994;52299;26071;28486;35682
/3/m/;32920;27111;42253;34608;17948;6315;7723;9374;26366;16381;20359;24591;34624;18574;20362;24779
/3/w/;19708;15553;24568;18349;11039;4232;4818;5446;18165;10916;17162;14403;17675;7497;8124;10903
/3/30/;82;26;119;42;29;7;7;21;112;95;246;38;52;38;28;44
/3/31/;37246;30959;50782;42398;19746;8105;9348;10787;29072;16349;23883;28776;41759;20073;23373;27174
/3/31/311/;34245;26517;44317;37231;17511;7350;8595;9880;25163;14428;20975;26002;39120;18791;21453;24234
/3/31/312/;418;494;767;676;750;171;166;176;1606;792;1366;748;732;542;1081;647
/3/31/313/;1888;3299;4668;3667;1081;418;451;562;1168;728;1075;1582;1237;305;342;1979
/3/31/314/;695;649;1030;824;404;166;136;169;1135;401;467;444;670;435;497;314
/3/32/;12650;9542;12290;8029;7915;2133;2714;3316;12262;8822;10384;8456;8281;4551;3925;6420
/3/32/321/;8;1;39;18;6;;3;;2;28;19;2;15;;;12
/3/32/322/;8323;6661;7380;4552;5310;1152;1487;1972;5754;3742;3206;2843;3581;1900;1548;3848
/3/32/323/;938;261;453;339;252;98;164;191;1565;1472;1279;1845;405;295;197;339
/3/32/324/;184;192;541;260;150;;104;;810;565;844;182;209;;;165
/3/32/325/;3197;2427;3877;2860;2197;790;956;1069;4131;3015;5036;3584;4071;2259;2077;2056
/3/34/;1615;1017;1844;1321;742;232;331;476;1784;1205;1470;827;860;542;457;1027
/3/35/;147;71;153;75;102;5;26;29;201;250;402;95;82;70;66;85
/3/35/;888;1049;1633;1092;453;65;115;191;1100;576;1136;802;1265;797;637;932
/3/Rest/;;;;;;;;;;;;;;;;
/4/;24718;14534;25536;16251;13668;4597;4743;6473;30781;23017;27177;21693;17845;11411;6534;10560
/4/m/;23637;14112;24440;15549;13203;4400;4525;6214;29443;22223;25989;20797;16878;10900;6193;10225
/4/w/;1081;422;1096;702;465;197;218;259;1338;794;1188;896;967;511;341;335
/4/40/;2620;1136;1859;1805;1185;538;632;656;4641;2921;2647;2226;1931;956;887;989
/4/41/41/;781;26;74;1465;45;13;14;124;391;1323;70;287;75;55;7;22
/4/41/412/;;;;340;;;;2;;1110;;;;;;
/4/41/413/;737;;;108;;;;122;335;211;;269;;;;
/4/41/414/;;;;;;;;;;2;;;;;;
/4/42/;12452;7554;15065;7629;7252;2620;2197;3531;21502;13347;20304;15221;11802;7437;3539;5651
/4/43/43/;522;240;254;85;76;3;3;12;212;222;971;189;85;3;2;29
/4/44/;6547;4827;7260;5895;4367;1204;1626;1718;2921;4128;2730;2730;3147;2526;1707;3500
/4/44/441/;249;203;531;296;278;;82;123;616;2470;569;503;241;165;140;539
/4/44/442/;257;134;121;64;47;;30;26;214;239;153;95;94;42;13;37
/4/44/443/;500;435;504;655;492;209;224;331;79;;;574;676;548;392;678
/4/44/444/;1844;1641;1639;1235;1056;140;263;207;1570;967;975;947;847;393;239;442
/4/44/445/;2824;1836;3124;2591;1888;804;886;851;410;399;962;431;924;1084;575;1338
/4/44/446/;873;578;1341;1054;606;;141;180;32;;;180;365;294;348;466
/4/45/45/;1796;751;1024;722;743;219;271;432;1114;1076;455;1040;805;434;392;369
/4/Rest/;;;;;;;;;;;;;;;;
/5-n/;97029;60912;96239;71327;57240;28775;28583;27649;121506;76890;131112;88680;94481;50420;45961;49581
/5-n/m/;46174;28417;42490;36280;31750;16679;16576;17112;54885;39016;63275;38706;45250;24250;23909;29586
/5-n/k/;50855;32495;53749;35047;25490;10592;12007;10537;63322;37874;67837;49974;49231;26170;22052;19995
/5/;18179;11734;18223;13634;13457;11554;8970;8721;17904;13353;17042;13925;17195;9587;11924;15952
